2021-12-10 10:27:14,121 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 성공 : 0 건
2021-12-10 10:27:19,132 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 4 페이지
2021-12-10 10:27:19,132 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 4 페이지
2021-12-10 10:27:19,142 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 대상 : 10 건
2021-12-10 10:27:19,142 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 대상 : 10 건
2021-12-10 10:27:19,176 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 성공 : 0 건
2021-12-10 10:27:19,176 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 성공 : 0 건
2021-12-10 10:27:24,177 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 5 페이지
2021-12-10 10:27:24,177 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 5 페이지
2021-12-10 10:27:24,184 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 대상 : 10 건
2021-12-10 10:27:24,184 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 대상 : 10 건
2021-12-10 10:27:24,215 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 성공 : 0 건
2021-12-10 10:27:24,215 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 성공 : 0 건
2021-12-10 10:27:29,242 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 6 페이지
2021-12-10 10:27:29,242 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 6 페이지
2021-12-10 10:27:29,250 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 대상 : 10 건
2021-12-10 10:27:29,250 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 대상 : 10 건
2021-12-10 10:27:29,281 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 성공 : 0 건
2021-12-10 10:27:29,281 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 성공 : 0 건
2021-12-10 10:27:34,215 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 7 페이지
2021-12-10 10:27:34,215 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 7 페이지
2021-12-10 10:27:34,222 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 대상 : 10 건
2021-12-10 10:27:34,222 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 대상 : 10 건
2021-12-10 10:27:34,249 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 성공 : 0 건
2021-12-10 10:27:34,249 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 성공 : 0 건
2021-12-10 10:27:39,024 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 8 페이지
2021-12-10 10:27:39,024 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 8 페이지
2021-12-10 10:27:39,035 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 대상 : 10 건
2021-12-10 10:27:39,035 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 대상 : 10 건
2021-12-10 10:27:39,065 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 성공 : 0 건
2021-12-10 10:27:39,065 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 성공 : 0 건
2021-12-10 10:27:44,285 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 9 페이지
2021-12-10 10:27:44,285 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 9 페이지
2021-12-10 10:27:44,291 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 대상 : 10 건
2021-12-10 10:27:44,291 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 대상 : 10 건
2021-12-10 10:27:44,320 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 성공 : 0 건
2021-12-10 10:27:44,320 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 성공 : 0 건
2021-12-10 10:27:48,005 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(10054, '현재 연결은 원격 호스트에 의해 강제로 끊겼습니다', None, 10054, None))': /session/90611d5a471a3e8b55bb591160fc81c1/window
2021-12-10 10:27:48,005 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(10054, '현재 연결은 원격 호스트에 의해 강제로 끊겼습니다', None, 10054, None))': /session/90611d5a471a3e8b55bb591160fc81c1/window
2021-12-10 10:27:55,923 | INFO | crawling | crawling_main() | crawling | C002/202/2209/news | 크롤링 시작
2021-12-10 10:27:55,923 | INFO | crawling | crawling_main() | crawling | C002/202/2209/news | 크롤링 시작
2021-12-10 10:28:02,100 | INFO | crawling | crawling_main() | crawling | C002/202/2209/news | 1 페이지
2021-12-10 10:28:02,100 | INFO | crawling | crawling_main() | crawling | C002/202/2209/news | 1 페이지
2021-12-10 10:28:07,131 | INFO | crawling | crawling_main() | crawling | C002/202/2209/news | 크롤링 대상 : 20 건
2021-12-10 10:28:07,131 | INFO | crawling | crawling_main() | crawling | C002/202/2209/news | 크롤링 대상 : 20 건
2021-12-10 10:28:13,425 | ERROR | crawling | crawling_main() | crawling | C002/202/2209/news | Exception 'nttId'
2021-12-10 10:28:13,425 | ERROR | crawling | crawling_main() | crawling | C002/202/2209/news | Exception 'nttId'
2021-12-10 10:28:29,661 | INFO | crawling | crawling_main() | crawling | C002/202/2209/release | 크롤링 시작
2021-12-10 10:28:29,661 | INFO | crawling | crawling_main() | crawling | C002/202/2209/release | 크롤링 시작
2021-12-10 10:28:35,856 | INFO | crawling | crawling_main() | crawling | C002/202/2209/release | 1 페이지
2021-12-10 10:28:35,856 | INFO | crawling | crawling_main() | crawling | C002/202/2209/release | 1 페이지
2021-12-10 10:28:40,888 | INFO | crawling | crawling_main() | crawling | C002/202/2209/release | 크롤링 대상 : 20 건
2021-12-10 10:28:40,888 | INFO | crawling | crawling_main() | crawling | C002/202/2209/release | 크롤링 대상 : 20 건
2021-12-10 10:28:47,150 | ERROR | crawling | crawling_main() | crawling | C002/202/2209/release | Exception 'nttId'
2021-12-10 10:28:47,150 | ERROR | crawling | crawling_main() | crawling | C002/202/2209/release | Exception 'nttId'
2021-12-10 10:35:38,916 | INFO | crawling | crawling_main() | crawling | C002/202/2209/news | 크롤링 시작
2021-12-10 10:35:38,916 | INFO | crawling | crawling_main() | crawling | C002/202/2209/news | 크롤링 시작
2021-12-10 10:35:45,089 | INFO | crawling | crawling_main() | crawling | C002/202/2209/news | 1 페이지
2021-12-10 10:35:45,089 | INFO | crawling | crawling_main() | crawling | C002/202/2209/news | 1 페이지
2021-12-10 10:35:50,111 | INFO | crawling | crawling_main() | crawling | C002/202/2209/news | 크롤링 대상 : 20 건
